Glyph Name,Unicode Codepoint (hex),Character
.notdef,—,
.null,—,
nonmarkingreturn,—,
uniE000,U+E000,
uniE001,U+E001,
uniE002,U+E002,
uniE003,U+E003,
uniE004,U+E004,
uniE005,U+E005,
uniE006,U+E006,
uniE007,U+E007,
uniE008,U+E008,
uniE009,U+E009,
uniE00A,U+E00A,
uniE00B,U+E00B,
uniE00C,U+E00C,
uniE00D,U+E00D,
uniE00E,U+E00E,
uniE00F,U+E00F,
uniE010,U+E010,
uniE011,U+E011,
uniE012,U+E012,
uniE013,U+E013,
uniE014,U+E014,
uniE015,U+E015,
uniE016,U+E016,
uniE017,U+E017,
uniE018,U+E018,
uniE019,U+E019,
uniE01A,U+E01A,
uniE01B,U+E01B,
uniE01C,U+E01C,
uniE01D,U+E01D,
uniE01E,U+E01E,
uniE01F,U+E01F,
uniE020,U+E020,
uniE021,U+E021,
uniE022,U+E022,
uniE023,U+E023,
uniE024,U+E024,
uniE025,U+E025,
uniE026,U+E026,
uniE027,U+E027,
uniE028,U+E028,
uniE029,U+E029,
uniE02A,U+E02A,
uniE02B,U+E02B,
uniE02C,U+E02C,
uniE02D,U+E02D,
uniE02E,U+E02E,
uniE02F,U+E02F,
uniE030,U+E030,
uniE031,U+E031,
uniE032,U+E032,
uniE033,U+E033,
uniE034,U+E034,
uniE035,U+E035,
uniE036,U+E036,
uniE037,U+E037,
uniE038,U+E038,
uniE039,U+E039,
uniE03A,U+E03A,
uniE03B,U+E03B,
uniE03C,U+E03C,
uniE03D,U+E03D,
uniE03E,U+E03E,
uniE03F,U+E03F,
uniE040,U+E040,
uniE041,U+E041,
uniE042,U+E042,
uniE043,U+E043,
uniE044,U+E044,
uniE045,U+E045,
uniE046,U+E046,
uniE047,U+E047,
uniE048,U+E048,
uniE049,U+E049,
uniE04A,U+E04A,
uniE04B,U+E04B,
uniE04C,U+E04C,
uniE04D,U+E04D,
uniE04E,U+E04E,
uniE04F,U+E04F,
uniE050,U+E050,
uniE051,U+E051,
uniE052,U+E052,
uniE053,U+E053,
uniE054,U+E054,
uniE055,U+E055,
uniE056,U+E056,
uniE057,U+E057,
uniE058,U+E058,
uniE059,U+E059,
uniE05A,U+E05A,
uniE05B,U+E05B,
uniE05C,U+E05C,
uniE05D,U+E05D,
uniE05E,U+E05E,
uniE05F,U+E05F,
uniE060,U+E060,
uniE061,U+E061,
uniE062,U+E062,
uniE063,U+E063,
uniE064,U+E064,
uniE065,U+E065,
uniE066,U+E066,
uniE067,U+E067,
uniE068,U+E068,
uniE069,U+E069,
uniE06A,U+E06A,
uniE06B,U+E06B,
uniE06C,U+E06C,
uniE06D,U+E06D,
uniE06E,U+E06E,
uniE06F,U+E06F,
uniE070,U+E070,
uniE071,U+E071,
uniE072,U+E072,
uniE073,U+E073,
uniE074,U+E074,
uniE075,U+E075,
uniE076,U+E076,
uniE077,U+E077,
uniE078,U+E078,
uniE079,U+E079,
uniE07A,U+E07A,
uniE07B,U+E07B,
uniE07C,U+E07C,
uniE07D,U+E07D,
uniE07E,U+E07E,
uniE07F,U+E07F,
uniE080,U+E080,
uniE081,U+E081,
uniE082,U+E082,
uniE083,U+E083,
uniE084,U+E084,
uniE085,U+E085,
uniE086,U+E086,
uniE087,U+E087,
uniE088,U+E088,
uniE089,U+E089,
uniE08A,U+E08A,
uniE08B,U+E08B,
uniE08C,U+E08C,
uniE08D,U+E08D,
uniE08E,U+E08E,
uniE08F,U+E08F,
uniE090,U+E090,
uniE091,U+E091,
uniE092,U+E092,
uniE093,U+E093,
uniE094,U+E094,
uniE095,U+E095,
uniE096,U+E096,
uniE097,U+E097,
uniE098,U+E098,
uniE099,U+E099,
uniE09A,U+E09A,
uniE09B,U+E09B,
uniE09C,U+E09C,
uniE09D,U+E09D,
uniE09E,U+E09E,
uniE09F,U+E09F,
uniE0A0,U+E0A0,
uniE0A1,U+E0A1,
uniE0A2,U+E0A2,
uniE0A3,U+E0A3,
uniE0A4,U+E0A4,
uniE0A5,U+E0A5,
uniE0A6,U+E0A6,
uniE0A7,U+E0A7,
uniE0A8,U+E0A8,
uniE0A9,U+E0A9,
uniE0AA,U+E0AA,
uniE0AB,U+E0AB,
uniE0AC,U+E0AC,
uniE0AD,U+E0AD,
uniE0AE,U+E0AE,
uniE0AF,U+E0AF,
uniE0B0,U+E0B0,
uniE0B1,U+E0B1,
uniE0B2,U+E0B2,
uniE0B3,U+E0B3,
uniE0B4,U+E0B4,
uniE0B5,U+E0B5,
uniE0B6,U+E0B6,
uniE0B7,U+E0B7,
uniE0B8,U+E0B8,
uniE0B9,U+E0B9,
uniE0BA,U+E0BA,
uniE0BB,U+E0BB,
uniE0BC,U+E0BC,
uniE0BD,U+E0BD,
uniE0BE,U+E0BE,
uniE0BF,U+E0BF,
uniE0C0,U+E0C0,
uniE0C1,U+E0C1,
uniE0C2,U+E0C2,
uniE0C3,U+E0C3,
uniE0C4,U+E0C4,
uniE0C5,U+E0C5,
uniE0C6,U+E0C6,
uniE0C7,U+E0C7,
uniE0C8,U+E0C8,
uniE0C9,U+E0C9,
uniE0CA,U+E0CA,
uniE0CB,U+E0CB,
uniE0CC,U+E0CC,
uniE0CD,U+E0CD,
uniE0CE,U+E0CE,
uniE0CF,U+E0CF,
uniE0D0,U+E0D0,
uniE0D1,U+E0D1,
uniE0D2,U+E0D2,
uniE0D3,U+E0D3,
uniE0D4,U+E0D4,
uniE0D5,U+E0D5,
uniE0D6,U+E0D6,
uniE0D7,U+E0D7,
uniE0D8,U+E0D8,
uniE0D9,U+E0D9,
uniE0DA,U+E0DA,
uniE0DB,U+E0DB,
uniE0DC,U+E0DC,
uniE0DD,U+E0DD,
uniE0DE,U+E0DE,
uniE0DF,U+E0DF,
uniE0E0,U+E0E0,
uniE0E1,U+E0E1,
uniE0E2,U+E0E2,
uniE0E3,U+E0E3,
uniE0E4,U+E0E4,
uniE0E5,U+E0E5,
uniE0E6,U+E0E6,
uniE0E7,U+E0E7,
uniE0E8,U+E0E8,
uniE0E9,U+E0E9,
uniE0EA,U+E0EA,
uniE0EB,U+E0EB,
uniE0EC,U+E0EC,
uniE0ED,U+E0ED,
